Education,Occupation,Gender,MaritalStatus,HomeOwnerFlag,NumberCarsOwned,NumberChildrenAtHome,TotalChildren,YearlyIncome,Age,AveMonthSpend
Graduate Degree,Management,F,S,0,4,0,0,151318,31,51
Graduate Degree,Management,M,M,1,0,1,1,183231,31,109
Partial College,Skilled Manual,M,S,1,2,0,0,98032,35,70
Bachelors ,Management,M,M,1,1,4,4,140875,30,148
Graduate Degree,Management,M,M,1,2,4,4,185657,56,144
Graduate Degree,Management,F,M,1,3,4,4,141844,55,91
Bachelors ,Management,F,M,1,4,3,3,145176,55,73
Graduate Degree,Management,M,M,1,2,3,3,184504,55,126
Bachelors ,Management,F,S,1,2,0,4,80891,54,39
Bachelors ,Management,F,S,1,2,0,4,90366,54,51
Bachelors ,Management,F,S,1,2,0,4,91037,54,42
Bachelors ,Management,F,S,1,2,0,4,83404,54,48
Bachelors ,Management,F,S,1,2,0,4,79819,54,46
Graduate Degree,Management,F,M,1,2,0,4,85829,54,49
Graduate Degree,Management,F,M,0,2,0,4,104279,54,52
Graduate Degree,Management,M,S,1,2,0,4,121950,54,75
Bachelors ,Management,M,M,1,2,0,5,95877,54,77
Bachelors ,Management,F,S,1,3,0,5,80055,53,47
Bachelors ,Management,M,M,1,2,0,4,112289,53,79
Bachelors ,Management,M,M,1,2,0,4,111071,53,73
Bachelors ,Management,F,M,1,2,0,4,89692,53,51
Bachelors ,Management,F,M,1,3,0,5,86347,52,52
Bachelors ,Management,M,M,1,3,0,5,96935,52,75
Bachelors ,Management,F,M,0,1,1,3,86749,52,57
Bachelors ,Management,F,S,1,1,1,4,84010,52,54
Bachelors ,Management,F,M,1,1,1,4,81296,52,59
Bachelors ,Management,M,M,1,1,1,4,101131,51,96
Bachelors ,Management,F,M,1,1,1,4,83256,51,57
Bachelors ,Management,F,M,0,2,0,5,96418,51,55
High School,Professional,M,M,1,2,1,2,55404,50,83
High School,Professional,F,M,1,2,1,2,50201,50,53
High School,Professional,F,M,1,2,1,2,52116,50,53
Partial College,Professional,M,M,1,1,1,2,96883,50,94
Bachelors ,Management,F,M,1,0,1,2,81421,50,54
Bachelors ,Management,F,M,1,0,1,2,73189,50,57
Partial College,Professional,M,M,1,2,1,4,87565,50,100
High School,Professional,F,M,1,2,1,2,50320,49,53
High School,Professional,F,M,1,2,1,2,48200,49,53
Partial College,Professional,F,S,1,2,1,2,69431,49,51
Partial College,Professional,M,S,1,2,1,2,91233,49,84
Partial College,Professional,F,S,1,2,1,2,79388,48,53
Partial College,Professional,F,S,1,2,1,2,81490,48,55
Partial College,Professional,F,S,0,2,1,2,76220,48,54
High School,Professional,M,M,1,2,1,2,88557,48,92
Partial College,Professional,F,M,1,1,1,2,98934,48,57
Partial College,Professional,M,M,1,1,2,4,107014,48,110
Bachelors ,Management,F,M,1,1,1,3,97838,48,65
High School,Professional,F,S,1,2,1,2,93756,47,60
High School,Professional,F,S,1,2,1,2,58807,47,52
Partial College,Professional,F,M,1,1,1,2,75300,47,53
Partial College,Professional,F,M,1,1,1,2,69781,47,59
Partial College,Professional,M,S,1,2,1,2,107126,47,92
Partial College,Professional,F,M,1,2,1,2,83120,47,63
Partial College,Professional,M,S,1,1,2,4,79403,47,96
Partial College,Professional,F,M,0,2,2,4,82373,47,68
High School,Professional,M,M,1,2,1,2,82678,46,89
High School,Professional,F,M,0,2,1,3,89815,46,58
Partial College,Professional,M,M,1,2,2,4,95975,46,108
Partial College,Professional,F,S,1,2,2,4,81567,46,58
Partial College,Professional,M,M,1,2,2,4,97258,46,109
Partial College,Professional,M,S,1,2,2,5,104005,46,107
Bachelors ,Management,M,S,0,4,3,3,164291,40,126
Bachelors ,Management,F,S,0,4,3,3,138418,40,80
Partial College,Professional,F,M,0,2,4,4,123475,40,98
Partial College,Professional,F,M,1,4,3,3,136555,40,88
Partial College,Professional,F,S,1,4,3,3,114730,41,80
Partial College,Professional,M,M,1,3,4,4,160265,41,153
Partial College,Professional,F,M,1,3,3,3,131035,41,89
Bachelors ,Management,F,S,0,3,3,3,139552,41,81
High School,Professional,M,M,0,4,4,4,154573,42,147
High School,Professional,F,M,0,4,4,4,136970,42,99
Partial College,Professional,M,M,1,4,4,4,165394,43,157
Partial College,Professional,F,M,1,3,4,4,128534,43,94
High School,Professional,F,M,1,2,4,4,140179,43,98
High School,Professional,M,S,0,2,0,4,50003,66,55
Graduate Degree,Management,M,S,1,1,0,3,139004,66,71
Graduate Degree,Management,M,M,1,2,0,2,127974,65,72
Graduate Degree,Management,M,M,1,2,0,4,101550,65,71
Graduate Degree,Management,F,M,1,2,0,4,88902,65,44
Graduate Degree,Management,F,S,1,4,2,2,146565,65,59
Partial College,Professional,F,M,1,4,1,4,96421,33,65
Bachelors ,Management,F,M,1,3,2,2,127739,33,80
Graduate Degree,Management,F,M,1,1,2,2,154474,33,79
Bachelors ,Management,F,M,1,0,3,4,97283,34,89
Partial College,Professional,F,M,1,3,5,5,104042,34,99
Partial College,Professional,M,S,0,3,5,5,122978,34,154
Partial College,Professional,F,M,1,3,5,5,91607,34,98
Partial College,Professional,F,S,0,1,0,0,98748,34,51
Partial College,Professional,M,S,1,4,2,4,169568,34,115
Graduate Degree,Management,F,M,1,2,2,2,145275,34,80
Graduate Degree,Management,M,M,1,2,2,2,173834,34,119
Graduate Degree,Management,M,M,1,3,2,2,180861,34,119
Bachelors ,Management,F,S,0,4,0,2,141306,34,53
Partial College,Professional,F,S,1,0,3,4,72083,42,73
Partial College,Professional,M,M,1,0,1,2,116585,42,105
Graduate Degree,Management,M,M,1,2,0,2,75549,64,61
Graduate Degree,Management,F,M,1,2,0,4,112925,64,48
Partial College,Professional,F,M,1,2,3,4,102901,35,86
Partial College,Professional,M,M,1,2,3,4,125463,35,134
Partial College,Professional,F,M,1,1,0,0,85754,35,55
Partial College,Professional,F,M,1,1,0,0,86138,35,52
Partial College,Professional,M,M,1,1,0,0,125485,35,92
Bachelors ,Management,F,S,1,4,2,4,127801,35,74
Partial College,Professional,M,M,1,4,4,5,105527,36,146
Bachelors ,Management,M,M,1,2,3,3,155993,36,136
Partial College,Professional,M,M,0,4,3,3,164943,36,141
Graduate Degree,Management,M,M,1,4,0,0,169863,36,93
Partial College,Professional,M,M,0,3,4,5,97392,37,140
Bachelors ,Management,F,M,1,1,3,3,123794,37,85
Bachelors ,Management,F,M,1,3,3,3,145642,37,88
Bachelors ,Management,F,M,1,3,3,3,130738,37,89
Partial College,Professional,M,S,0,3,2,2,150167,37,112
High School,Professional,M,S,0,2,0,2,96447,43,71
High School,Professional,M,M,0,2,0,2,92889,43,84
Partial High School,Skilled Manual,F,S,1,2,0,2,89097,44,47
Graduate Degree,Management,F,S,1,2,0,2,82760,63,47
Graduate Degree,Management,M,S,1,2,0,4,109129,63,68
Graduate Degree,Management,M,M,1,2,0,4,112116,63,73
Graduate Degree,Management,M,M,1,2,0,4,117520,62,72
Partial College,Professional,M,M,0,3,4,5,122139,38,152
Partial College,Professional,M,M,1,4,4,5,127971,38,145
High School,Professional,M,S,0,3,3,4,121401,38,120
High School,Professional,F,S,0,3,3,4,106090,38,75
Partial College,Professional,F,M,1,0,3,3,95526,38,83
Partial College,Professional,M,M,0,4,3,3,156297,38,137
Partial College,Professional,M,M,0,4,3,3,171700,38,142
Partial High School,Skilled Manual,M,M,1,2,0,2,114324,44,88
High School,Professional,M,M,0,2,0,2,82817,44,75
High School,Professional,F,S,1,2,0,2,72518,44,46
Graduate Degree,Management,F,S,1,2,0,3,103232,45,51
Graduate Degree,Management,F,S,0,2,0,3,88666,45,46
Graduate Degree,Management,F,S,1,2,0,3,91177,45,51
Graduate Degree,Management,M,S,1,2,0,3,101674,45,79
Graduate Degree,Management,F,S,0,2,0,3,92491,45,51
Graduate Degree,Management,F,S,0,2,0,3,100009,45,53
Graduate Degree,Management,M,M,1,2,0,3,122242,45,83
Partial College,Professional,F,S,0,2,0,3,45387,46,42
Partial College,Professional,F,S,0,2,0,3,63473,46,47
Graduate Degree,Management,F,M,0,2,0,4,99881,61,47
Graduate Degree,Management,F,M,1,2,0,4,140771,61,50
Bachelors ,Management,M,M,1,2,0,5,126955,60,76
Bachelors ,Management,F,M,1,2,0,5,110304,60,52
Bachelors ,Management,M,M,1,2,0,5,131143,59,78
Bachelors ,Management,M,S,1,2,0,5,128035,59,72
Bachelors ,Management,M,M,1,4,3,3,167552,59,117
Bachelors ,Management,M,M,1,2,0,5,133053,58,79
Bachelors ,Management,M,S,1,2,0,5,146838,58,71
Graduate Degree,Management,M,M,1,1,4,4,184290,58,140
Graduate Degree,Clerical,F,M,1,0,0,1,36399,36,51
Bachelors ,Manual,F,M,1,0,0,1,26675,37,43
Bachelors ,Manual,F,M,1,0,0,1,27831,37,42
Graduate Degree,Clerical,M,M,1,0,0,1,58842,36,76
Bachelors ,Manual,M,M,1,0,0,1,28641,37,69
Graduate Degree,Clerical,M,M,1,0,0,1,58637,37,76
Graduate Degree,Clerical,M,S,1,0,0,1,45259,37,65
Graduate Degree,Clerical,F,M,1,0,0,1,28969,62,36
Graduate Degree,Clerical,M,M,1,0,0,1,46868,62,61
Graduate Degree,Clerical,M,M,1,0,0,5,72684,36,80
Bachelors ,Manual,M,M,1,0,0,1,23353,40,63
Partial College,Manual,F,M,1,0,0,1,30760,41,43
Partial College,Manual,F,S,1,0,0,1,16168,41,33
Partial College,Manual,F,S,1,1,0,2,27856,43,40
Partial College,Manual,M,M,1,1,0,2,23130,43,61
Partial College,Manual,M,M,1,1,0,2,34162,43,68
Partial College,Manual,F,M,1,1,0,2,21535,44,37
Graduate Degree,Clerical,F,M,1,0,0,1,62977,61,42
Bachelors ,Clerical,F,S,1,0,0,1,25937,59,38
Partial College,Manual,M,M,1,1,0,2,14242,58,58
Bachelors ,Clerical,F,S,1,0,0,1,52894,57,41
Partial College,Manual,F,M,1,0,0,1,13044,56,37
Graduate Degree,Clerical,M,M,1,0,0,1,72297,56,75
Partial College,Manual,M,S,0,1,0,0,14342,19,55
Partial College,Manual,F,S,0,1,0,0,31655,20,42
Partial College,Manual,M,S,0,1,0,0,18161,20,53
Partial College,Manual,M,S,1,1,0,0,22747,20,57
High School,Manual,F,M,1,2,0,0,11376,21,39
High School,Manual,M,M,0,2,0,0,20222,21,60
High School,Manual,M,S,0,2,0,0,25274,21,56
High School,Manual,F,S,0,0,1,1,13853,19,47
High School,Manual,F,S,0,0,1,1,19497,19,51
Bachelors ,Clerical,F,M,1,0,0,0,22319,19,38
Bachelors ,Clerical,M,M,1,0,0,0,41970,19,62
High School,Manual,M,S,0,0,1,1,27256,20,73
Bachelors ,Clerical,F,M,0,0,0,0,29302,20,44
Bachelors ,Clerical,F,M,1,0,0,0,25568,20,37
Bachelors ,Clerical,F,M,1,0,0,0,26344,20,41
Bachelors ,Clerical,F,S,1,0,0,0,35279,20,47
Bachelors ,Clerical,M,S,1,0,0,1,74697,55,69
Bachelors ,Clerical,M,M,1,0,0,1,47277,55,68
Graduate Degree,Clerical,M,S,1,0,0,1,65086,55,68
High School,Manual,F,S,0,1,1,1,28411,38,48
High School,Manual,M,M,1,1,1,1,16401,39,76
Partial College,Manual,M,S,1,1,0,2,30357,39,64
Partial College,Manual,F,M,1,1,0,2,11073,39,41
Partial College,Manual,M,M,1,1,0,2,18715,40,62
Graduate Degree,Clerical,F,M,1,0,0,3,59143,38,53
Bachelors ,Clerical,F,M,1,0,0,3,55550,38,55
Bachelors ,Clerical,M,S,1,0,0,3,55029,38,67
Bachelors ,Clerical,F,M,1,0,0,3,42241,38,49
Graduate Degree,Clerical,F,S,1,0,0,3,69335,39,40
Graduate Degree,Clerical,M,M,1,0,0,3,76084,39,76
High School,Manual,M,S,0,1,1,1,18210,28,66
High School,Manual,F,S,0,1,1,1,22252,28,50
High School,Manual,F,S,1,0,2,2,20896,28,54
High School,Manual,M,S,1,0,2,2,19837,28,78
High School,Manual,M,S,1,0,2,2,18666,29,79
High School,Manual,M,M,0,1,2,2,16243,29,87
Bachelors ,Clerical,M,S,1,0,0,0,66885,29,73
Bachelors ,Clerical,F,S,1,0,0,1,58624,29,47
Graduate Degree,Clerical,M,S,1,0,0,0,74702,29,65
Graduate Degree,Clerical,F,M,1,0,0,0,65127,29,51
Graduate Degree,Clerical,F,M,1,0,0,0,65243,29,52
Graduate Degree,Clerical,F,S,1,0,0,0,52357,29,46
Partial College,Manual,F,S,0,2,0,3,17764,46,39
Partial College,Manual,F,S,0,2,0,3,23009,46,42
Partial College,Manual,F,M,1,1,0,2,32283,46,42
Partial College,Manual,M,M,1,1,0,2,46377,46,71
High School,Manual,M,M,0,2,1,2,25070,45,78
High School,Manual,F,S,1,1,2,2,24171,30,55
Partial College,Manual,M,M,1,0,1,1,19553,30,77
Partial College,Professional,M,M,0,1,2,3,118844,44,111
Partial College,Professional,F,S,1,1,2,4,97749,44,68
Partial College,Professional,F,M,0,1,2,4,106318,44,76
Partial College,Professional,M,S,1,1,2,4,122977,44,105
Partial College,Professional,M,S,0,2,0,5,133666,54,73
Partial High School,Skilled Manual,F,M,1,4,1,3,68671,53,56
High School,Professional,F,M,1,2,1,5,66944,53,57
Partial College,Professional,M,S,0,2,0,5,124183,53,72
Graduate Degree,Management,M,M,1,4,4,4,173468,53,147
Bachelors ,Management,M,M,1,4,3,3,126123,52,122
Bachelors ,Management,F,M,1,4,4,4,119995,52,86
Bachelors ,Management,M,M,1,3,4,4,178271,52,153
Partial College,Professional,F,M,0,1,2,4,96153,44,73
Partial College,Professional,F,M,1,2,2,4,97870,45,79
High School,Professional,F,M,1,2,2,4,95006,44,73
Bachelors ,Management,M,M,1,4,4,4,167289,45,157
Partial College,Professional,F,M,1,2,5,5,135157,45,104
Bachelors ,Management,F,S,1,2,5,5,141365,45,103
High School,Professional,F,M,1,2,1,4,99356,46,70
Partial College,Professional,M,M,1,2,5,5,155272,46,169
High School,Professional,F,M,1,2,2,4,110522,47,71
High School,Professional,M,M,0,2,2,5,117813,47,114
Partial College,Professional,M,M,1,4,5,5,157571,47,160
Partial College,Management,F,S,1,4,4,4,103125,48,76
Partial College,Management,F,M,0,4,5,5,129459,48,102
High School,Management,M,M,1,3,1,4,115406,49,97
High School,Management,F,M,1,4,5,5,124748,49,101
High School,Management,F,M,0,3,1,4,101472,50,64
Partial High School,Skilled Manual,M,M,0,2,0,5,129124,51,80
Partial High School,Skilled Manual,F,M,0,2,0,5,86128,51,52
Partial High School,Skilled Manual,M,M,1,2,0,5,103335,51,81
Bachelors ,Professional,F,S,0,4,0,0,90092,22,49
Bachelors ,Professional,F,M,1,3,0,0,82396,22,55
Bachelors ,Professional,F,S,0,3,0,0,93232,24,49
Bachelors ,Professional,F,S,0,3,0,0,75369,24,47
Bachelors ,Professional,F,M,1,4,0,0,84894,24,56
Bachelors ,Professional,M,S,1,3,0,0,125223,23,83
Bachelors ,Professional,M,M,1,3,0,0,123087,23,77
High School,Management,M,S,1,4,5,5,168818,23,150
Bachelors ,Professional,M,S,0,4,0,0,101221,24,79
Bachelors ,Professional,F,S,0,3,0,0,105179,25,50
Bachelors ,Professional,M,S,0,3,0,0,128332,25,80
Bachelors ,Professional,F,S,0,3,0,0,96679,24,50
High School,Management,M,M,1,2,5,5,119933,24,158
Partial High School,Professional,M,M,1,4,5,5,148624,24,165
High School,Management,F,M,1,2,5,5,96708,25,100
Bachelors ,Professional,F,S,0,3,0,0,116530,26,56
Bachelors ,Professional,M,S,0,3,0,0,131594,26,78
Bachelors ,Professional,M,S,0,3,0,0,129368,26,81
High School,Management,F,M,1,4,5,5,130446,26,99
High School,Management,F,M,0,4,5,5,128326,26,104
Bachelors ,Professional,M,M,1,4,0,0,130431,27,90
Bachelors ,Professional,M,M,0,4,0,0,121455,27,86
Partial High School,Management,M,M,1,4,5,5,161354,27,166
Graduate Degree,Management,M,M,1,4,5,5,184160,29,173
Bachelors ,Skilled Manual,F,M,1,0,1,1,53712,23,56
Partial High School,Manual,M,S,0,2,0,0,16778,25,52
Partial High School,Manual,M,S,0,2,0,0,22461,25,58
Partial College,Clerical,F,S,1,1,0,0,55730,25,48
Bachelors ,Professional,M,S,1,2,2,3,95063,35,102
Partial High School,Manual,F,S,0,2,0,0,20203,18,34
Partial High School,Manual,M,S,1,2,0,0,19807,18,53
High School,Manual,M,S,0,1,0,0,62398,20,63
Bachelors ,Skilled Manual,F,M,1,0,1,1,57543,24,57
High School,Manual,M,S,0,1,0,0,55135,25,68
High School,Manual,M,S,0,1,0,0,37430,25,61
Bachelors ,Skilled Manual,M,M,1,0,1,1,54411,25,80
Bachelors ,Skilled Manual,F,M,1,0,1,1,50264,25,57
Bachelors ,Skilled Manual,F,M,1,0,1,1,46077,25,56
High School,Manual,F,S,0,1,0,0,48362,26,45
Bachelors ,Skilled Manual,M,M,1,1,1,1,49033,26,85
Partial College,Clerical,M,S,1,0,2,2,64690,26,95
Partial College,Clerical,M,M,0,0,2,2,46450,26,96
Bachelors ,Management,F,M,1,2,0,3,87033,58,45
Partial High School,Manual,F,S,0,2,0,0,11294,27,37
Partial High School,Manual,M,S,1,2,0,0,20671,27,64
Partial High School,Manual,F,S,0,2,0,0,12493,27,37
Partial High School,Manual,M,S,0,2,0,0,19957,27,61
Partial High School,Manual,M,M,0,2,0,0,19114,27,65
High School,Manual,M,S,0,1,0,0,44555,27,64
Partial College,Clerical,F,S,1,0,2,2,59609,28,63
Partial College,Clerical,M,S,1,1,2,2,52156,27,91
Partial College,Clerical,M,S,1,2,2,2,56036,28,83
Partial College,Clerical,F,S,1,2,2,2,55863,28,61
Partial College,Clerical,M,S,1,2,3,3,51689,24,104
Partial College,Clerical,M,S,1,2,3,3,54209,24,102
Graduate Degree,Skilled Manual,F,S,1,0,0,0,67375,24,45
Partial College,Clerical,F,S,1,2,3,3,38001,23,60
Graduate Degree,Skilled Manual,M,M,1,0,0,1,66443,68,56
Bachelors ,Skilled Manual,F,M,1,1,0,1,58099,67,41
Graduate Degree,Skilled Manual,F,S,1,0,0,0,78323,32,41
Graduate Degree,Skilled Manual,M,S,0,0,0,0,97574,32,76
Graduate Degree,Skilled Manual,F,S,1,0,0,0,88622,32,53
Graduate Degree,Skilled Manual,F,S,1,0,0,0,79075,32,49
Bachelors ,Skilled Manual,F,M,1,1,0,1,50793,45,45
Bachelors ,Skilled Manual,M,M,1,1,0,1,64915,45,76
Partial High School,Manual,F,S,1,2,0,3,22047,44,40
Partial High School,Manual,F,S,0,2,0,3,11539,44,37
High School,Clerical,M,M,1,1,0,1,44260,44,71
