Education,Occupation,Gender,MaritalStatus,HomeOwnerFlag,NumberCarsOwned,NumberChildrenAtHome,TotalChildren,YearlyIncome,AveMonthSpend,BikeBuyer,Year,Age
High School,Professional,F,S,0,2,0,0,49084,48,1,1974,24
Graduate Degree,Management,M,S,1,2,0,0,172444,87,0,1959,39
Graduate Degree,Management,M,M,1,2,0,0,181590,92,1,1959,39
Bachelors ,Management,F,M,1,3,2,2,148109,76,0,1966,32
Graduate Degree,Management,F,S,0,3,1,1,149717,62,1,1966,32
Graduate Degree,Management,F,M,1,3,1,1,163913,68,1,1966,32
High School,Professional,F,S,0,2,0,2,66900,47,0,1957,41
Partial College,Professional,M,M,1,0,1,2,97834,98,0,1957,41
Bachelors ,Management,M,M,1,0,1,2,129910,104,0,1957,41
Bachelors ,Management,F,S,1,1,1,2,91729,57,1,1957,41
Partial College,Professional,M,S,1,1,0,2,113883,76,0,1957,41
Partial College,Professional,M,M,1,1,0,2,112820,82,0,1957,41
Graduate Degree,Management,F,M,1,0,0,0,106839,58,0,1967,31
Partial College,Skilled Manual,M,S,0,1,0,1,88887,78,1,1962,36
Partial College,Skilled Manual,M,S,1,1,0,1,108740,77,0,1962,36
Bachelors ,Professional,M,M,1,1,0,1,106971,87,1,1962,36
Partial College,Skilled Manual,M,M,1,1,0,1,98519,80,0,1961,37
Partial College,Skilled Manual,F,S,0,1,0,1,82707,54,0,1961,37
Bachelors ,Professional,M,M,1,1,0,1,103866,83,1,1961,37
Partial College,Skilled Manual,F,S,1,1,0,1,66520,46,0,1960,38
Bachelors ,Professional,F,S,0,1,0,0,75270,47,1,1965,33
Bachelors ,Professional,F,S,1,4,5,5,95167,89,1,1965,33
Bachelors ,Professional,F,S,1,1,0,0,85087,49,0,1964,34
Bachelors ,Professional,M,M,0,1,0,0,102445,85,0,1964,34
Bachelors ,Professional,F,S,0,1,0,0,88445,52,0,1964,34
Bachelors ,Professional,M,S,0,1,0,0,97782,74,1,1964,34
Bachelors ,Professional,F,M,1,1,0,1,117317,54,1,1959,39
Bachelors ,Professional,M,S,0,2,0,0,106891,79,1,1963,35
Partial College,Skilled Manual,M,M,1,1,0,1,77012,74,1,1962,36
Partial College,Skilled Manual,F,M,1,1,0,1,62702,56,1,1962,36
Partial College,Skilled Manual,F,M,1,1,0,1,73151,51,0,1962,36
Bachelors ,Professional,M,M,1,2,4,5,104220,142,1,1962,36
Partial High School,Manual,M,S,0,2,0,0,18709,61,0,1973,25
Partial College,Skilled Manual,M,M,1,2,4,5,93330,141,1,1962,36
Partial College,Skilled Manual,M,M,1,2,4,5,86770,140,1,1962,36
Partial College,Skilled Manual,F,M,1,3,4,5,73276,84,1,1961,37
Partial College,Clerical,M,S,0,2,0,2,51078,58,0,1935,63
Bachelors ,Management,F,S,1,1,0,2,52280,37,0,1936,62
Partial College,Skilled Manual,M,M,1,3,4,5,88615,143,0,1960,38
Partial College,Skilled Manual,M,M,1,3,4,5,102114,140,1,1960,38
Partial College,Skilled Manual,M,S,1,1,0,1,106875,80,1,1957,41
Partial College,Skilled Manual,F,S,1,1,0,1,65730,46,0,1956,42
High School,Skilled Manual,M,M,0,2,1,2,32857,75,0,1949,49
High School,Skilled Manual,F,M,1,1,0,0,46078,46,0,1975,23
High School,Skilled Manual,F,S,1,1,0,0,32122,37,0,1975,23
High School,Skilled Manual,F,M,1,2,0,0,34879,48,0,1980,18
High School,Skilled Manual,F,M,0,2,0,0,39266,44,0,1980,18
High School,Skilled Manual,F,S,0,2,0,0,44139,40,0,1980,18
Partial High School,Clerical,F,S,0,2,0,0,37010,34,0,1980,18
High School,Skilled Manual,M,S,1,2,0,5,26209,64,1,1946,52
Partial High School,Clerical,M,S,0,2,0,0,64613,63,0,1979,19
High School,Skilled Manual,F,S,0,2,0,0,38527,46,0,1978,20
High School,Skilled Manual,F,M,1,2,0,0,42811,47,0,1978,20
High School,Skilled Manual,F,M,0,2,0,0,48772,45,0,1978,20
Partial College,Clerical,F,S,0,2,0,2,27610,39,0,1938,60
Partial High School,Clerical,M,S,0,2,0,0,64633,69,0,1977,21
High School,Skilled Manual,F,M,0,2,0,0,32916,43,0,1977,21
High School,Skilled Manual,M,S,0,2,0,0,63488,73,1,1977,21
High School,Skilled Manual,M,M,1,2,0,0,43666,70,0,1977,21
High School,Skilled Manual,M,S,0,2,0,0,54938,64,0,1979,19
High School,Skilled Manual,F,S,0,2,0,0,29691,37,0,1979,19
Bachelors ,Management,F,S,1,2,0,2,66934,47,0,1939,59
Graduate Degree,Management,M,M,1,1,0,2,124211,78,0,1939,59
Bachelors ,Management,M,M,1,2,0,2,63251,67,0,1941,57
Bachelors ,Management,M,M,1,2,0,2,82448,71,0,1941,57
Bachelors ,Management,M,S,1,2,0,2,77855,69,0,1941,57
Graduate Degree,Management,F,S,0,1,0,2,94385,46,0,1942,56
High School,Skilled Manual,M,S,1,2,0,0,62553,72,1,1976,22
High School,Skilled Manual,F,M,1,2,0,0,37229,42,0,1976,22
Partial College,Skilled Manual,F,S,1,1,0,0,33375,38,0,1976,22
Partial College,Skilled Manual,M,S,0,1,0,0,60713,68,1,1976,22
High School,Skilled Manual,F,M,1,2,0,0,45639,50,0,1975,23
High School,Skilled Manual,M,S,1,2,0,0,57274,65,0,1975,23
High School,Skilled Manual,F,S,0,2,0,0,32033,40,0,1975,23
Partial College,Skilled Manual,M,S,0,1,0,0,54434,69,0,1974,24
Partial College,Skilled Manual,F,S,0,1,0,0,46024,44,1,1974,24
Partial College,Skilled Manual,M,M,1,1,0,0,56829,66,0,1974,24
Partial College,Skilled Manual,M,S,0,1,0,0,48946,64,1,1974,24
Partial College,Skilled Manual,F,M,0,1,0,0,89154,52,0,1973,25
Partial College,Skilled Manual,F,S,0,2,0,0,70041,46,1,1972,26
Bachelors ,Management,M,M,1,1,4,4,116323,141,1,1968,30
Bachelors ,Management,F,M,1,1,4,4,104668,91,1,1968,30
Bachelors ,Management,M,S,1,2,0,1,128776,80,1,1967,31
Bachelors ,Management,F,M,1,2,0,1,97616,55,0,1967,31
Graduate Degree,Management,F,S,0,4,0,0,151318,51,0,1967,31
Graduate Degree,Management,M,M,1,0,1,1,183231,109,1,1967,31
Partial College,Skilled Manual,M,S,1,2,0,0,98032,70,1,1963,35
Bachelors ,Management,M,M,1,1,4,4,140875,148,1,1968,30
Graduate Degree,Management,M,M,1,2,4,4,185657,144,1,1942,56
Graduate Degree,Management,F,M,1,3,4,4,141844,91,0,1943,55
Bachelors ,Management,F,M,1,4,3,3,145176,73,1,1943,55
Graduate Degree,Management,M,M,1,2,3,3,184504,126,0,1943,55
Bachelors ,Management,F,S,1,2,0,4,80891,39,0,1944,54
Bachelors ,Management,F,S,1,2,0,4,90366,51,1,1944,54
Bachelors ,Management,F,S,1,2,0,4,91037,42,0,1944,54
Bachelors ,Management,F,S,1,2,0,4,83404,48,0,1944,54
Bachelors ,Management,F,S,1,2,0,4,79819,46,0,1944,54
Graduate Degree,Management,F,M,1,2,0,4,85829,49,0,1944,54
Graduate Degree,Management,F,M,0,2,0,4,104279,52,0,1944,54
Graduate Degree,Management,M,S,1,2,0,4,121950,75,0,1944,54
Bachelors ,Management,M,M,1,2,0,5,95877,77,0,1944,54
Bachelors ,Management,F,S,1,3,0,5,80055,47,0,1945,53
Bachelors ,Management,M,M,1,2,0,4,112289,79,0,1945,53
Bachelors ,Management,M,M,1,2,0,4,111071,73,0,1945,53
Bachelors ,Management,F,M,1,2,0,4,89692,51,0,1945,53
Bachelors ,Management,F,M,1,3,0,5,86347,52,0,1946,52
Bachelors ,Management,M,M,1,3,0,5,96935,75,0,1946,52
Bachelors ,Management,F,M,0,1,1,3,86749,57,1,1946,52
Bachelors ,Management,F,S,1,1,1,4,84010,54,0,1946,52
Bachelors ,Management,F,M,1,1,1,4,81296,59,0,1946,52
Bachelors ,Management,M,M,1,1,1,4,101131,96,1,1947,51
Bachelors ,Management,F,M,1,1,1,4,83256,57,0,1947,51
Bachelors ,Management,F,M,0,2,0,5,96418,55,0,1947,51
High School,Professional,M,M,1,2,1,2,55404,83,0,1948,50
High School,Professional,F,M,1,2,1,2,50201,53,0,1948,50
High School,Professional,F,M,1,2,1,2,52116,53,0,1948,50
Partial College,Professional,M,M,1,1,1,2,96883,94,0,1948,50
Bachelors ,Management,F,M,1,0,1,2,81421,54,1,1948,50
Bachelors ,Management,F,M,1,0,1,2,73189,57,1,1948,50
Partial College,Professional,M,M,1,2,1,4,87565,100,0,1948,50
High School,Professional,F,M,1,2,1,2,50320,53,1,1949,49
High School,Professional,F,M,1,2,1,2,48200,53,0,1949,49
Partial College,Professional,F,S,1,2,1,2,69431,51,0,1949,49
Partial College,Professional,M,S,1,2,1,2,91233,84,0,1949,49
Partial College,Professional,F,S,1,2,1,2,79388,53,0,1950,48
Partial College,Professional,F,S,1,2,1,2,81490,55,1,1950,48
Partial College,Professional,F,S,0,2,1,2,76220,54,0,1950,48
High School,Professional,M,M,1,2,1,2,88557,92,0,1950,48
Partial College,Professional,F,M,1,1,1,2,98934,57,0,1950,48
Partial College,Professional,M,M,1,1,2,4,107014,110,0,1950,48
Bachelors ,Management,F,M,1,1,1,3,97838,65,0,1950,48
High School,Professional,F,S,1,2,1,2,93756,60,1,1951,47
High School,Professional,F,S,1,2,1,2,58807,52,0,1951,47
Partial College,Professional,F,M,1,1,1,2,75300,53,0,1951,47
Partial College,Professional,F,M,1,1,1,2,69781,59,0,1951,47
Partial College,Professional,M,S,1,2,1,2,107126,92,1,1951,47
Partial College,Professional,F,M,1,2,1,2,83120,63,1,1951,47
Partial College,Professional,M,S,1,1,2,4,79403,96,0,1951,47
Partial College,Professional,F,M,0,2,2,4,82373,68,0,1951,47
High School,Professional,M,M,1,2,1,2,82678,89,0,1952,46
High School,Professional,F,M,0,2,1,3,89815,58,1,1952,46
Partial College,Professional,M,M,1,2,2,4,95975,108,0,1952,46
Partial College,Professional,F,S,1,2,2,4,81567,58,1,1952,46
Partial College,Professional,M,M,1,2,2,4,97258,109,0,1952,46
Partial College,Professional,M,S,1,2,2,5,104005,107,1,1952,46
Bachelors ,Management,M,S,0,4,3,3,164291,126,1,1958,40
Bachelors ,Management,F,S,0,4,3,3,138418,80,1,1958,40
Partial College,Professional,F,M,0,2,4,4,123475,98,0,1958,40
Partial College,Professional,F,M,1,4,3,3,136555,88,1,1958,40
Partial College,Professional,F,S,1,4,3,3,114730,80,1,1957,41
Partial College,Professional,M,M,1,3,4,4,160265,153,1,1957,41
Partial College,Professional,F,M,1,3,3,3,131035,89,0,1957,41
Bachelors ,Management,F,S,0,3,3,3,139552,81,1,1957,41
High School,Professional,M,M,0,4,4,4,154573,147,1,1956,42
High School,Professional,F,M,0,4,4,4,136970,99,0,1956,42
Partial College,Professional,M,M,1,4,4,4,165394,157,1,1955,43
Partial College,Professional,F,M,1,3,4,4,128534,94,1,1955,43
High School,Professional,F,M,1,2,4,4,140179,98,0,1955,43
High School,Professional,M,S,0,2,0,4,50003,55,0,1932,66
Graduate Degree,Management,M,S,1,1,0,3,139004,71,0,1932,66
Graduate Degree,Management,M,M,1,2,0,2,127974,72,0,1933,65
Graduate Degree,Management,M,M,1,2,0,4,101550,71,0,1933,65
Graduate Degree,Management,F,M,1,2,0,4,88902,44,0,1933,65
Graduate Degree,Management,F,S,1,4,2,2,146565,59,0,1933,65
Partial College,Professional,F,M,1,4,1,4,96421,65,0,1965,33
Bachelors ,Management,F,M,1,3,2,2,127739,80,1,1965,33
Graduate Degree,Management,F,M,1,1,2,2,154474,79,0,1965,33
Bachelors ,Management,F,M,1,0,3,4,97283,89,0,1964,34
Partial College,Professional,F,M,1,3,5,5,104042,99,0,1964,34
Partial College,Professional,M,S,0,3,5,5,122978,154,1,1964,34
Partial College,Professional,F,M,1,3,5,5,91607,98,1,1964,34
Partial College,Professional,F,S,0,1,0,0,98748,51,0,1964,34
Partial College,Professional,M,S,1,4,2,4,169568,115,1,1964,34
Graduate Degree,Management,F,M,1,2,2,2,145275,80,0,1964,34
Graduate Degree,Management,M,M,1,2,2,2,173834,119,1,1964,34
Graduate Degree,Management,M,M,1,3,2,2,180861,119,1,1964,34
Bachelors ,Management,F,S,0,4,0,2,141306,53,1,1964,34
Partial College,Professional,F,S,1,0,3,4,72083,73,1,1956,42
Partial College,Professional,M,M,1,0,1,2,116585,105,0,1956,42
Graduate Degree,Management,M,M,1,2,0,2,75549,61,0,1934,64
Graduate Degree,Management,F,M,1,2,0,4,112925,48,0,1934,64
Partial College,Professional,F,M,1,2,3,4,102901,86,1,1963,35
Partial College,Professional,M,M,1,2,3,4,125463,134,1,1963,35
Partial College,Professional,F,M,1,1,0,0,85754,55,0,1963,35
Partial College,Professional,F,M,1,1,0,0,86138,52,0,1963,35
Partial College,Professional,M,M,1,1,0,0,125485,92,1,1963,35
Bachelors ,Management,F,S,1,4,2,4,127801,74,1,1963,35
Partial College,Professional,M,M,1,4,4,5,105527,146,1,1962,36
Bachelors ,Management,M,M,1,2,3,3,155993,136,1,1962,36
Partial College,Professional,M,M,0,4,3,3,164943,141,1,1962,36
Graduate Degree,Management,M,M,1,4,0,0,169863,93,0,1962,36
Partial College,Professional,M,M,0,3,4,5,97392,140,1,1961,37
Bachelors ,Management,F,M,1,1,3,3,123794,85,1,1961,37
Bachelors ,Management,F,M,1,3,3,3,145642,88,1,1961,37
Bachelors ,Management,F,M,1,3,3,3,130738,89,0,1961,37
Partial College,Professional,M,S,0,3,2,2,150167,112,1,1961,37
High School,Professional,M,S,0,2,0,2,96447,71,1,1955,43
High School,Professional,M,M,0,2,0,2,92889,84,0,1955,43
Partial High School,Skilled Manual,F,S,1,2,0,2,89097,47,1,1954,44
Graduate Degree,Management,F,S,1,2,0,2,82760,47,0,1935,63
Graduate Degree,Management,M,S,1,2,0,4,109129,68,0,1935,63
Graduate Degree,Management,M,M,1,2,0,4,112116,73,0,1935,63
Graduate Degree,Management,M,M,1,2,0,4,117520,72,0,1936,62
Partial College,Professional,M,M,0,3,4,5,122139,152,1,1960,38
Partial College,Professional,M,M,1,4,4,5,127971,145,1,1960,38
High School,Professional,M,S,0,3,3,4,121401,120,1,1960,38
High School,Professional,F,S,0,3,3,4,106090,75,1,1960,38
Partial College,Professional,F,M,1,0,3,3,95526,83,0,1960,38
Partial College,Professional,M,M,0,4,3,3,156297,137,0,1960,38
Partial College,Professional,M,M,0,4,3,3,171700,142,1,1960,38
Partial High School,Skilled Manual,M,M,1,2,0,2,114324,88,0,1954,44
High School,Professional,M,M,0,2,0,2,82817,75,0,1954,44
High School,Professional,F,S,1,2,0,2,72518,46,0,1954,44
Graduate Degree,Management,F,S,1,2,0,3,103232,51,1,1953,45
Graduate Degree,Management,F,S,0,2,0,3,88666,46,0,1953,45
Graduate Degree,Management,F,S,1,2,0,3,91177,51,0,1953,45
Graduate Degree,Management,M,S,1,2,0,3,101674,79,0,1953,45
Graduate Degree,Management,F,S,0,2,0,3,92491,51,1,1953,45
Graduate Degree,Management,F,S,0,2,0,3,100009,53,1,1953,45
Graduate Degree,Management,M,M,1,2,0,3,122242,83,0,1953,45
Partial College,Professional,F,S,0,2,0,3,45387,42,0,1952,46
Partial College,Professional,F,S,0,2,0,3,63473,47,0,1952,46
Graduate Degree,Management,F,M,0,2,0,4,99881,47,0,1937,61
Graduate Degree,Management,F,M,1,2,0,4,140771,50,0,1937,61
Bachelors ,Management,M,M,1,2,0,5,126955,76,0,1938,60
Bachelors ,Management,F,M,1,2,0,5,110304,52,0,1938,60
Bachelors ,Management,M,M,1,2,0,5,131143,78,0,1939,59
Bachelors ,Management,M,S,1,2,0,5,128035,72,0,1939,59
Bachelors ,Management,M,M,1,4,3,3,167552,117,1,1939,59
Bachelors ,Management,M,M,1,2,0,5,133053,79,0,1940,58
Bachelors ,Management,M,S,1,2,0,5,146838,71,0,1940,58
Graduate Degree,Management,M,M,1,1,4,4,184290,140,0,1940,58
Graduate Degree,Clerical,F,M,1,0,0,1,36399,51,0,1962,36
Bachelors ,Manual,F,M,1,0,0,1,26675,43,0,1961,37
Bachelors ,Manual,F,M,1,0,0,1,27831,42,0,1961,37
Graduate Degree,Clerical,M,M,1,0,0,1,58842,76,1,1962,36
Bachelors ,Manual,M,M,1,0,0,1,28641,69,0,1961,37
Graduate Degree,Clerical,M,M,1,0,0,1,58637,76,1,1961,37
Graduate Degree,Clerical,M,S,1,0,0,1,45259,65,0,1961,37
Graduate Degree,Clerical,F,M,1,0,0,1,28969,36,0,1936,62
Graduate Degree,Clerical,M,M,1,0,0,1,46868,61,0,1936,62
Graduate Degree,Clerical,M,M,1,0,0,5,72684,80,1,1962,36
Bachelors ,Manual,M,M,1,0,0,1,23353,63,0,1958,40
Partial College,Manual,F,M,1,0,0,1,30760,43,0,1957,41
Partial College,Manual,F,S,1,0,0,1,16168,33,0,1957,41
Partial College,Manual,F,S,1,1,0,2,27856,40,0,1955,43
Partial College,Manual,M,M,1,1,0,2,23130,61,0,1955,43
Partial College,Manual,M,M,1,1,0,2,34162,68,0,1955,43
Partial College,Manual,F,M,1,1,0,2,21535,37,0,1954,44
Graduate Degree,Clerical,F,M,1,0,0,1,62977,42,0,1937,61
Bachelors ,Clerical,F,S,1,0,0,1,25937,38,0,1939,59
Partial College,Manual,M,M,1,1,0,2,14242,58,0,1940,58
Bachelors ,Clerical,F,S,1,0,0,1,52894,41,0,1941,57
Partial College,Manual,F,M,1,0,0,1,13044,37,0,1942,56
Graduate Degree,Clerical,M,M,1,0,0,1,72297,75,0,1942,56
Partial College,Manual,M,S,0,1,0,0,14342,55,0,1979,19
Partial College,Manual,F,S,0,1,0,0,31655,42,0,1978,20
Partial College,Manual,M,S,0,1,0,0,18161,53,0,1978,20
Partial College,Manual,M,S,1,1,0,0,22747,57,0,1978,20
High School,Manual,F,M,1,2,0,0,11376,39,0,1977,21
High School,Manual,M,M,0,2,0,0,20222,60,0,1977,21
High School,Manual,M,S,0,2,0,0,25274,56,0,1977,21
High School,Manual,F,S,0,0,1,1,13853,47,1,1979,19
High School,Manual,F,S,0,0,1,1,19497,51,1,1979,19
Bachelors ,Clerical,F,M,1,0,0,0,22319,38,0,1979,19
Bachelors ,Clerical,M,M,1,0,0,0,41970,62,0,1979,19
High School,Manual,M,S,0,0,1,1,27256,73,0,1978,20
Bachelors ,Clerical,F,M,0,0,0,0,29302,44,0,1978,20
Bachelors ,Clerical,F,M,1,0,0,0,25568,37,0,1978,20
Bachelors ,Clerical,F,M,1,0,0,0,26344,41,0,1978,20
Bachelors ,Clerical,F,S,1,0,0,0,35279,47,0,1978,20
Bachelors ,Clerical,M,S,1,0,0,1,74697,69,1,1943,55
Bachelors ,Clerical,M,M,1,0,0,1,47277,68,0,1943,55
Graduate Degree,Clerical,M,S,1,0,0,1,65086,68,0,1943,55
High School,Manual,F,S,0,1,1,1,28411,48,0,1960,38
High School,Manual,M,M,1,1,1,1,16401,76,0,1959,39
Partial College,Manual,M,S,1,1,0,2,30357,64,0,1959,39
Partial College,Manual,F,M,1,1,0,2,11073,41,0,1959,39
Partial College,Manual,M,M,1,1,0,2,18715,62,0,1958,40
Graduate Degree,Clerical,F,M,1,0,0,3,59143,53,0,1960,38
Bachelors ,Clerical,F,M,1,0,0,3,55550,55,0,1960,38
Bachelors ,Clerical,M,S,1,0,0,3,55029,67,0,1960,38
Bachelors ,Clerical,F,M,1,0,0,3,42241,49,0,1960,38
Graduate Degree,Clerical,F,S,1,0,0,3,69335,40,1,1959,39
Graduate Degree,Clerical,M,M,1,0,0,3,76084,76,1,1959,39
High School,Manual,M,S,0,1,1,1,18210,66,0,1970,28
High School,Manual,F,S,0,1,1,1,22252,50,0,1970,28
High School,Manual,F,S,1,0,2,2,20896,54,1,1970,28
High School,Manual,M,S,1,0,2,2,19837,78,1,1970,28
High School,Manual,M,S,1,0,2,2,18666,79,0,1969,29
High School,Manual,M,M,0,1,2,2,16243,87,0,1969,29
Bachelors ,Clerical,M,S,1,0,0,0,66885,73,0,1969,29
Bachelors ,Clerical,F,S,1,0,0,1,58624,47,0,1969,29
Graduate Degree,Clerical,M,S,1,0,0,0,74702,65,0,1969,29
Graduate Degree,Clerical,F,M,1,0,0,0,65127,51,0,1969,29
Graduate Degree,Clerical,F,M,1,0,0,0,65243,52,0,1969,29
Graduate Degree,Clerical,F,S,1,0,0,0,52357,46,1,1969,29
Partial College,Manual,F,S,0,2,0,3,17764,39,0,1952,46
Partial College,Manual,F,S,0,2,0,3,23009,42,0,1952,46
Partial College,Manual,F,M,1,1,0,2,32283,42,0,1952,46
Partial College,Manual,M,M,1,1,0,2,46377,71,0,1952,46
High School,Manual,M,M,0,2,1,2,25070,78,0,1953,45
High School,Manual,F,S,1,1,2,2,24171,55,0,1968,30
Partial College,Manual,M,M,1,0,1,1,19553,77,0,1968,30
Partial College,Professional,M,M,0,1,2,3,118844,111,1,1954,44
Partial College,Professional,F,S,1,1,2,4,97749,68,1,1954,44
Partial College,Professional,F,M,0,1,2,4,106318,76,1,1954,44
Partial College,Professional,M,S,1,1,2,4,122977,105,1,1954,44
Partial College,Professional,M,S,0,2,0,5,133666,73,0,1944,54
Partial High School,Skilled Manual,F,M,1,4,1,3,68671,56,0,1945,53
High School,Professional,F,M,1,2,1,5,66944,57,0,1945,53
Partial College,Professional,M,S,0,2,0,5,124183,72,0,1945,53
Graduate Degree,Management,M,M,1,4,4,4,173468,147,1,1945,53
Bachelors ,Management,M,M,1,4,3,3,126123,122,0,1946,52
Bachelors ,Management,F,M,1,4,4,4,119995,86,0,1946,52
Bachelors ,Management,M,M,1,3,4,4,178271,153,1,1946,52
Partial College,Professional,F,M,0,1,2,4,96153,73,0,1954,44
Partial College,Professional,F,M,1,2,2,4,97870,79,0,1953,45
High School,Professional,F,M,1,2,2,4,95006,73,1,1954,44
Bachelors ,Management,M,M,1,4,4,4,167289,157,1,1953,45
Partial College,Professional,F,M,1,2,5,5,135157,104,1,1953,45
Bachelors ,Management,F,S,1,2,5,5,141365,103,1,1953,45
High School,Professional,F,M,1,2,1,4,99356,70,0,1952,46
Partial College,Professional,M,M,1,2,5,5,155272,169,1,1952,46
High School,Professional,F,M,1,2,2,4,110522,71,0,1951,47
High School,Professional,M,M,0,2,2,5,117813,114,0,1951,47
Partial College,Professional,M,M,1,4,5,5,157571,160,1,1951,47
Partial College,Management,F,S,1,4,4,4,103125,76,1,1950,48
Partial College,Management,F,M,0,4,5,5,129459,102,1,1950,48
High School,Management,M,M,1,3,1,4,115406,97,0,1949,49
High School,Management,F,M,1,4,5,5,124748,101,0,1949,49
High School,Management,F,M,0,3,1,4,101472,64,0,1948,50
Partial High School,Skilled Manual,M,M,0,2,0,5,129124,80,0,1947,51
Partial High School,Skilled Manual,F,M,0,2,0,5,86128,52,0,1947,51
Partial High School,Skilled Manual,M,M,1,2,0,5,103335,81,0,1947,51
